楼盘编号,传不3.0更名 -- 名称,楼盘名称,商户楼盘名称,社区类型,电梯数,单元数,楼栋数,楼盘地址,电梯总数,单元总数,楼栋总数,区县,方位,区位,社区居住规模,入住时间,租金,物业费,现售均价
172,宝泰家园一期,宝泰家园一期,宝泰家园一期,高级住宅,18,9,3,文德路58号,18,9,3,成华区,北门,二环至三环,912,2011,33,1.8,19800
5620,宝源·驷马城,宝源·驷马城,宝源·驷马城,高级住宅,12,6,2,驷马桥路19号,12,6,2,成华区,东方,,468,2009,0,0,18511
5553,宝源·驷马城,宝源驷马城,宝源驷马城,商住楼,12,6,2,驷马桥路19号,12,6,2,成华区,东方,,501,2009,0,0,17326
2410,,保得商务楼,保得商务楼,商住楼,0,1,1,清江东路198号,0,0,0,青羊区,西门,一环至二环,500,2000,50,10,16000
6493,保利198百合郡,保利198百合郡,,高级住宅,,,,三河街道银杏路99号,0,0,0,新都区,,,2973,2003,0,0,12851
6494,保利198丁香郡,保利198丁香郡,,高级住宅,,,,三河街道丁香路259号,0,0,0,新都区,,,2960,2005,0,0,13031
6495,保利198海棠花语,保利198海棠花语,,高级住宅,,,,三河街道海棠路119号,0,0,0,新都区,,,2478,2003,0,0,14722
6496,保利198玫瑰郡,保利198玫瑰郡,,高级住宅,,,,三河街道梓潼路255号,0,0,0,新都区,,,2443,2004,0,0,12862
6497,保利198蔷薇郡,保利198蔷薇郡,,高级住宅,,,,三河街道蔷薇路348号,0,0,0,新都区,,,2857,2002,0,0,13695
6498,保利198紫荆花语,保利198紫荆花语,,高级住宅,,,,蜀龙路1980号,0,0,0,新都区,,,3413,2000,0,0,13299
4586,保利百合花园,保利百合花园,保利百合花园（成都）,高级住宅,32,16,8,富华北路357号,32,16,8,高新区,东方,,1542,2015,30,3.2,35860
,,,保利百合花园,,32,16,8,,,,,,,,,,,,
,,,保利百合花园,,32,16,8,,,,,,,,,,,,
6082,保利百合花园,保利百合花园（成都）,保利百合花园（成都）,高级住宅,32,16,8,富华北路357号,32,16,8,高新区,,,2583,2002,0,0,32024
6499,保利城二期,保利城二期,,高级住宅,,,,寸龙桥路189号,0,0,0,新都区,,,2555,1997,0,0,14498
6500,保利城三期,保利城三期,,高级住宅,,,,大丰寸龙桥路186号,0,0,0,新都区,,,4640,2004,0,0,14498
6501,保利城一期,保利城一期（成都）,,高级住宅,,,,大丰寸龙桥路190号,0,0,0,新都区,,,2522,2003,0,0,14498
6502,,保利春天花语,,高级住宅,,,,赵家寺路386号,0,0,0,新都区,,,4223,2004,0,0,14826
4583,保利花园二期,保利花园二期,保利花园二期,普通住宅,56,28,9,聚贤街733号,56,28,9,武侯区,南门,三环外,900,2012,30,2.8,20240
,,,保利花园二期,,56,28,9,,,,,,,,,,,,
,,,保利花园二期,,56,28,9,,,,,,,,,,,,
4580,保利花园三期,保利花园三期,保利花园三期,高级住宅,24,12,6,聚龙路47号,24,12,6,武侯区,西门,三环外,500,2013,30,2.8,23200
,,,保利花园三期,,24,12,6,,,,,,,,,,,,
,,,保利花园三期,,24,12,6,,,,,,,,,,,,
4581,保利花园四期,保利花园四期,保利花园四期,普通住宅,32,16,7,兆景路450号,32,16,7,武侯区,南门,三环外,333,2014,30,2.8,19800
,,,保利花园四期,,32,16,7,,,,,,,,,,,,
,,,保利花园四期,,32,16,7,,,,,,,,,,,,
