城市,楼盘编号,传不3.0更名 -- 名称,楼盘名称,商户楼盘名称,社区类型,状态,媒体类型,经营商户,电梯数,单元数,楼栋数,楼盘地址,禁忌行业,单价,电梯总数,单元总数,楼栋总数,促销价格,是否活动,媒体类型占比,区县,方位,区位,社区居住规模,入住时间,租金,物业费,现售均价,缩略图,大门图片,单元图片,电梯图片,经度,纬度,状态,资源录入时间,资源录入人员,操作时间,操作人员,楼盘备注
成都,5557,SOLO商务楼,SOLO商务楼,SOLO商务楼,商住楼,开启,门贴,成都众燚,4,2,1,东风路北1巷11号,,99,4,2,1,0,0,"a:1:{s:7:""media_3"";d:100;}",成华区,东方,,370,2003,0,0,16730,./Uploads/ico/2018-05-18/m_5afea04edb766.jpg,./Uploads/ico/2018-05-18/5afea04edb766.jpg,,./Uploads/ico/2018-05-18/5afea052b73a7.jpg,104.092726,30.651343,开启,1970年01月01日 08点00分00秒,,2018年05月18日 17点43分47秒,杨镰齐,
成都,4433,TT尚品,TT尚品,TT尚品,高级住宅,开启,电梯框架,精视传媒,12,6,2,瑞联路39号,,99,12,6,2,0,0,"a:2:{s:7:""media_1"";d:50;s:7:""media_3"";d:50;}",青羊区,北门,二环至三环,583,2008,30,1.2,18000,./Uploads/thumb/2016-03-06/56dbc6e8e2d55.jpg,./Uploads/ico/2016-03-06/56dbc6e8e2d55.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.00126,30.665271,开启,1970年01月01日 08点00分00秒,yanglianqi,2017年12月20日 14点44分15秒,杨镰齐,
,,,,TT尚品,,禁用,电子屏,新潮,12,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TT尚品,,开启,门贴,中广众易,12,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都,5027,U+尚舍,U+尚舍,U+尚舍,普通住宅,开启,电梯框架,框框广告,8,4,1,崔家店路418号,,99,8,4,1,0,0,"a:2:{s:7:""media_1"";d:62;s:7:""media_3"";d:38;}",成华区,东门,三环外,800,2012,30,1.8,21000,./Uploads/ico/2017-05-09/m_59116c8bd03df.JPG,./Uploads/ico/2017-05-09/59116c8bd03df.JPG,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.134342,30.660518,开启,2017年04月13日 15点31分03秒,yanglianqi,2017年12月20日 14点44分25秒,杨镰齐,
,,,,U佳尚舍,,禁用,电子屏,新潮,8,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,U+尚舍,,开启,门贴,正合门道,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都,6434,嘉华苑,（成都）嘉华苑,,高级住宅,,,,,,,双楠路2号,,199,0,0,0,0,0,a:0:{},武侯区,,,400,2002,0,0,20205,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.032291,30.645919,禁用,1970年01月01日 08点00分00秒,,1970年01月01日 08点00分00秒,,
成都,6435,罗马假日广场,（成都）罗马假日广场,,写字楼,,,,,,,高升桥东路6号,,199,0,0,0,0,0,a:0:{},武侯区,,,4693,2000,0,0,17465,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.042454,30.636707,禁用,1970年01月01日 08点00分00秒,,1970年01月01日 08点00分00秒,,
成都,5502,艾佳上邸,艾佳上邸,艾佳上邸,高级住宅,开启,电梯框架,飞廉传媒,5,3,3,东升藏卫路南二段19号,,99,5,3,3,0,0,"a:1:{s:7:""media_1"";d:100;}",成华区,东方,,450,2008,40,1.8,10000,./Uploads/ico/2018-04-18/m_5ad7151c49fdc.jpg,./Uploads/ico/2018-04-18/5ad7151c49fdc.jpg,,,103.916315,30.55699,开启,1970年01月01日 08点00分00秒,,2018年04月18日 17点51分25秒,杨镰齐,
成都,606,爱丁堡,爱丁堡,爱丁堡,商住楼,开启,电梯框架,精视传媒,1,1,1,大华路2#,,99,1,1,1,0,0,"a:1:{s:7:""media_1"";d:100;}",武侯区,西门,二环至三环,415,2006,51,1.6,30600,./Uploads/thumb/2016-03-05/56da7fbfb906d.jpg,./Uploads/ico/2016-03-05/56da7fbfb906d.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.019791,30.650024,开启,2016年03月04日 16点58分06秒,yanglianqi,2017年12月20日 14点43分23秒,杨镰齐,
成都,3745,爱丁郡院,爱丁郡院,爱丁郡院,普通住宅,开启,电梯框架,框框广告,18,9,5,凌窠路300号,,99,18,9,5,0,0,"a:1:{s:7:""media_1"";d:100;}",锦江区,东门,二环至三环,722,2010,31,1.5,19740,./Uploads/thumb/2016-06-29/5773521992c6e.jpg,./Uploads/ico/2016-06-29/5773521992c6e.jpg,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.121407,30.616302,开启,1970年01月01日 08点00分00秒,yanglianqi,2017年12月20日 14点44分02秒,杨镰齐,
,,,,爱丁郡院,,禁用,电子屏,每多力,18,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,爱丁郡院,,禁用,门贴,正合门道,18,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都,3879,爱家丽苑,爱家丽苑,爱家丽苑,商住楼,开启,门贴,正合门道,5,5,1,锦华路一段7号,,99,5,5,1,0,0,"a:1:{s:7:""media_3"";d:100;}",锦江区,东门,一环至二环,900,2004,33,1.6,21000,./Uploads/thumb/2016-11-08/5821a1f62f2b6.jpg,./Uploads/ico/2016-11-08/5821a1f62f2b6.JPG,./Uploads/ico/2016-09-28/57eb1e1cd1dec.jpg,./Uploads/ico/2016-09-28/57eb1e1cd20a4.jpg,104.098142,30.623353,开启,1970年01月01日 08点00分00秒,yanglianqi,2017年12月20日 14点44分05秒,杨镰齐,
,,,,爱家丽苑,,开启,门贴,成都众燚,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
